Dataset Name,Year,Source,Provider,Task Type,Dialect,License,Bias Risk ,Paper Link,Host,Language,Collection ,Domain,Form,
MLQA,2020,Masader,Facebook,QA,MSA,CC BY-SA 3.0,Low,https://arxiv.org/pdf/1910.07475,GitHub,multilingual,crawling,other,text,
XOR-TyDi QA,2021,Masader,Multiple Institutions,QA,MSA,CC BY-SA 4.0,Low,https://arxiv.org/pdf/2010.11856,other,multilingual,other,other,text,
ArabicQA_2.1M,2024,Masader,riotu-lab,"QA, Instruction Tuning",Mixed,Apache-2.0,Low,,HuggingFace,ar,other,other,text,
Sanadset 650K: Data on Hadith Narrators,2022,Masader,Abdelmalek Essaâdi University,"machine translation,topic classification,text generation,named entity recognition,question answering,information retrieval,natural language inference",Classical Arabic,CC BY 4.0,Low,https://pdf.sciencedirectassets.com/311593/1-s2.0-S2352340922X0005X/1-s2.0-S2352340922007478/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjENv%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJIMEYCIQDKr1QQLIrpR0VMQ%2BVnDv8lybVyj45UMhqQ86gc%2BhKmiAIhAI5uOOL82vbsMNRK1PJxZbN7A3edlz1ph1ZDOkU0%2Fyf0KrsFCJT%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEQBRoMMDU5MDAzNTQ2ODY1IgzabnDfaRV7SF%2Fch9YqjwVAuwIowOC2Knnoay1ksmMqrQTdW%2FaT0JPoy4UZmT0Yst%2F%2BmMmIl8kEb0nDlwywYNCmBcHHb8zxygAUWxh%2FmQzQS%2F9Q6grHSmfFp4nSf7o8T27zWjp2LYkpXyV225BT0VBYYLl2o5ScpAOQRXYlSH2VVthxEdEkVHvLt%2FFGgsStxcZau4IY09tDUkHq%2BarkW6FrhzNgBu2HdYF%2BRNwgLus%2FMyFVp1O7qYt1G0vsT%2FmIWKjnCaw5EyTjk7M%2BGEzdAw4n5H%2BIoS6y0xEiQo9EZ1DDscEyaJ3XXSqey4iyf%2B7GMBlmFAzjLGK%2F9lnDu6yHfX%2FkpEUCLzHoi8UKwtlMPWQ3jRY5e8myLaWomCrA1bLdKyI4xWCd5zhZf188zKjhKm8r5s8%2FC4%2Fx3k5VTO7onWNJCy1f7QILFSRzSz%2BgO0BGCbGH7SgGSr0HUGl359ufB78uWfpFONuBdUkUT29k2KFXGC3LfQ%2Bv%2FaPpPB7cmu%2BGn8WkHjWG0F6DRqCVruu8a1ZzWmb3l3%2BCyIkZOXu6ba54lt9wwQy1pks%2BEOSe4SaXc%2Ff72EhGVZKw8KfyUPNfthQcCtyId87Ldca%2FTziyrpWa84FjPkKvzUvqmqbxZ2cwYPf8LfZ%2Fp7uA%2BR0QAaL61iNAqLt2xSNYtLPnsHGFrTgrrlbnsY1gAktF5sVZo5l5SfnNCV%2Fj8B4KTOAaL6XPFIM6YTp53dJ7w2Bg%2FrOTQXbB1mv4OwbKa%2Fukn4fINPP4bj2Rbg9xZFgUoC1iU4UtRZ5OVV6P7Ikfdr1oW9ahzkwbR7Il82mmqtDHIjkwsSysg35p2%2Ff1dCCextUCv1%2BVXExV61Re%2Fjk6%2BUoojtZDXdX32wknkXJ%2Ft6Wpe8l%2FMtcQMO7a%2BccGOrAB70%2BZGBMPBMyeRJ0U5JtkmHKIEvkcE%2F%2FWvhowr6UbFFSCh%2FtULIoRU64FGTxrYOZBNnMBnYZT0B5VGn%2Fc1P%2BCZALhjdjmS5HktuloHeeXzmuzNAVE3LVJTnUANw92Yh4HKDOdFPlhYjQjxEOQdaT4opTg29CNjq%2F99O1vjbQLqHTFoFQKmr%2F0FK3R%2BA9XApBNtS6o%2B7Cv3juwzMyXL%2FJXDmuhnkKs7Xt4j563BOON5d4%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20251026T201817Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYW4DBPSWK%2F20251026%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=6f985cdaaafbb6c8053568340bbe1c073706c145a64142dcfb7c40d586f9ba23&hash=32019f33c6aa51fbd7859d2ecb6ccc5dd0e912936a2a61094768c896cdd9afe2&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S2352340922007478&tid=spdf-8b7bca5f-417b-4625-8f10-b61c3c6f0fa2&sid=0236f807564c9543c81b0d09fb4cd6ce6a8cgxrqb&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&rh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=1e1e5c5a5b0d0e535603&rr=994ca45aaaf22b3b&cc=dz,Mendeley Data,ar,crawling,books,text,
Masked Arab States Dataset (MASD),2023,Masader,Clarkson University,language modeling,MSA,MIT License,Low,https://aclanthology.org/2023.arabicnlp-1.19.pdf,HuggingFace,ar,manual curation,other,text,
Qabas,2024,Masader,"SinaLab,Birzeit University","language modeling,information retrieval,part of speech tagging,morphological analysis,review classification,fake news detection,irony detection",MSA,Apache-1.0,Low,https://arxiv.org/abs/2406.06598,CAMeL Resources,ar,manual curation,other,text,
Arabic_Wikipedia_20230101_nobots,2023,Masader,Clarkson University,language modeling,MSA,MIT License,Low,https://aclanthology.org/2023.arabicnlp-1.19.pdf,HuggingFace,ar,manual curation,wikipedia,text,
Arabic_Wikipedia_20230101_bots,2023,Masader,Clarkson University,language modeling,MSA,MIT License,Low,https://aclanthology.org/2023.arabicnlp-1.19.pdf,HuggingFace,ar,manual curation,wikipedia,text,
DataSet for Arabic Classification,2018,Masader,"Universite Sultan Moulay Slimane de Beni-Mellal,Universite Chouaib Doukkali Faculte des Sciences",topic classification,MSA,CC BY 4.0,Low,,Mendeley Data,ar,crawling,news articles,text,
LASER,2019,Masader,Multiple Institutions,machine translation,MSA,BSD,Low,https://arxiv.org/pdf/1812.10464,GitHub,multilingual,human annotation,other,text,
